host_time,recipe_id,recipe_version,source_point_id,test_axis,point_id,point_name,target_offset_xyz_mm,target_dx_mm,target_dy_mm,target_dz_mm,selected_solution_space,actual_solution_space,max_command_joint_change_deg,joint_limit_margin,elbow_margin,wrist_margin,freedom_score,move_elapsed_s,position_error_mm,orientation_error_deg,within_tolerance,target_x_mm,actual_x_mm,error_x_mm,delta_x_mm,target_y_mm,actual_y_mm,error_y_mm,delta_y_mm,target_z_mm,actual_z_mm,error_z_mm,delta_z_mm,target_a_deg,actual_a_deg,error_a_deg,delta_a_deg,target_b_deg,actual_b_deg,error_b_deg,delta_b_deg,target_c_deg,actual_c_deg,error_c_deg,delta_c_deg,target_j1_deg,actual_j1_deg,error_j1_deg,delta_j1_deg,target_j2_deg,actual_j2_deg,error_j2_deg,delta_j2_deg,target_j3_deg,actual_j3_deg,error_j3_deg,delta_j3_deg,target_j4_deg,actual_j4_deg,error_j4_deg,delta_j4_deg,target_j5_deg,actual_j5_deg,error_j5_deg,delta_j5_deg,target_j6_deg,actual_j6_deg,error_j6_deg,delta_j6_deg
2026-09-20T14:41:54.689+09:00,REFERENCE_700080_Z_RANGE,1.0.0,REFERENCE_700080,Z,Z_REFERENCE_START,Z_REFERENCE_START,"[0.000, 0.000, 0.000]",0.0,0.0,0.0,,2,0.0,0.3288,1.0,0.4146,0.3288,0.1226,0.009,0.001,True,700.08,700.075,-0.005,-0.005,-24.59,-24.591,-0.001,-0.001,466.45,466.442,-0.008,-0.008,177.57,177.57,0.0,0.0,-90.0,-90.001,-0.001,-0.001,-180.0,180.0,-0.0,360.0,-2.585,-2.585,-0.0,-0.0,1.762,1.762,0.0,0.0,100.675,100.675,-0.0,-0.0,-180.699,-180.699,0.0,0.0,12.437,12.437,0.0,0.0,-179.339,-179.339,-0.0,-0.0
2026-09-20T14:41:56.366+09:00,REFERENCE_700080_Z_RANGE,1.0.0,REFERENCE_700080,Z,Z_POS_100_OUT,Z_POS_100_OUT,"[0.000, 0.000, 100.000]",0.0,0.0,100.0,,3,15.645,0.4257,1.0,0.1069,0.1069,1.1745,0.419,0.034,True,700.08,700.001,-0.079,-0.079,-24.59,-24.58,0.01,0.01,566.45,566.862,0.412,100.412,177.57,177.571,0.001,0.001,-90.0,-89.966,0.034,0.034,-180.0,179.994,-0.006,359.994,-2.573,-2.572,0.001,0.013,0.656,0.648,-0.008,-1.114,86.138,86.113,-0.025,-14.562,-177.525,-177.524,0.001,3.175,-3.208,-3.208,-0.0,-15.645,-182.492,-182.498,-0.006,-3.159
2026-09-20T14:41:58.167+09:00,REFERENCE_700080_Z_RANGE,1.0.0,REFERENCE_700080,Z,Z_POS_200_OUT,Z_POS_200_OUT,"[0.000, 0.000, 200.000]",0.0,0.0,200.0,,3,18.86,0.4989,1.0,0.6417,0.4989,1.297,0.232,0.02,True,700.08,700.108,0.028,0.028,-24.59,-24.593,-0.003,-0.003,666.45,666.68,0.23,200.23,177.57,177.57,-0.0,-0.0,-90.0,-89.98,0.02,0.02,-180.0,-179.996,0.004,0.004,-2.571,-2.571,0.0,0.014,3.471,3.481,0.01,1.719,67.278,67.248,-0.03,-33.427,-179.586,-179.587,-0.001,1.112,-19.251,-19.251,-0.0,-31.688,-180.412,-180.408,0.004,-1.069
2026-09-20T14:42:00.267+09:00,REFERENCE_700080_Z_RANGE,1.0.0,REFERENCE_700080,Z,Z_POS_300_OUT,Z_POS_300_OUT,"[0.000, 0.000, 300.000]",0.0,0.0,300.0,,3,27.783,0.4995,1.0,1.0,0.4995,1.5976,0.144,0.015,True,700.08,700.121,0.041,0.041,-24.59,-24.592,-0.002,-0.002,766.45,766.589,0.139,300.139,177.57,177.57,-0.0,-0.0,-90.0,-89.985,0.015,0.015,-180.0,-179.998,0.002,0.002,-2.563,-2.563,0.0,0.022,11.92,11.935,0.015,10.173,39.495,39.464,-0.031,-61.211,-179.794,-179.795,-0.001,0.904,-38.586,-38.586,-0.0,-51.023,-180.184,-180.181,0.003,-0.842
2026-09-20T14:42:02.367+09:00,REFERENCE_700080_Z_RANGE,1.0.0,REFERENCE_700080,Z,Z_POS_200_RETURN,Z_POS_200_RETURN,"[0.000, 0.000, 200.000]",0.0,0.0,200.0,,3,27.783,0.4989,1.0,0.6417,0.4989,1.5964,0.152,0.01,True,700.08,699.976,-0.104,-0.104,-24.59,-24.598,-0.008,-0.008,666.45,666.339,-0.111,199.889,177.57,177.569,-0.001,-0.001,-90.0,-90.009,-0.009,-0.009,-180.0,179.997,-0.003,359.997,-2.571,-2.572,-0.001,0.013,3.471,3.454,-0.017,1.692,67.278,67.306,0.028,-33.369,-179.586,-179.585,0.001,1.114,-19.251,-19.25,0.001,-31.687,-180.412,-180.416,-0.004,-1.077
2026-09-20T14:42:04.166+09:00,REFERENCE_700080_Z_RANGE,1.0.0,REFERENCE_700080,Z,Z_POS_100_RETURN,Z_POS_100_RETURN,"[0.000, 0.000, 100.000]",0.0,0.0,100.0,,3,18.86,0.4257,1.0,0.1069,0.1069,1.2964,0.28,0.022,True,700.08,699.997,-0.083,-0.083,-24.59,-24.582,0.008,0.008,566.45,566.183,-0.267,99.733,177.57,177.57,0.0,0.0,-90.0,-90.022,-0.022,-0.022,-180.0,179.995,-0.005,359.995,-2.573,-2.573,0.0,0.012,0.656,0.644,-0.012,-1.118,86.138,86.173,0.035,-14.502,-177.525,-177.524,0.001,3.175,-3.208,-3.208,0.0,-15.645,-182.492,-182.498,-0.006,-3.159
2026-09-20T14:42:05.866+09:00,REFERENCE_700080_Z_RANGE,1.0.0,REFERENCE_700080,Z,Z_REFERENCE_AFTER_POSITIVE,Z_REFERENCE_AFTER_POSITIVE,"[0.000, 0.000, 0.000]",0.0,0.0,0.0,,2,15.645,0.3288,1.0,0.4146,0.3288,1.1974,0.435,0.036,True,700.08,700.095,0.015,0.015,-24.59,-24.601,-0.011,-0.011,466.45,466.015,-0.435,-0.435,177.57,177.569,-0.001,-0.001,-90.0,-90.036,-0.036,-0.036,-180.0,-179.996,0.004,0.004,-2.585,-2.586,-0.001,-0.001,1.762,1.772,0.01,0.01,100.675,100.701,0.026,0.026,-180.699,-180.7,-0.001,-0.001,12.437,12.437,0.0,0.0,-179.339,-179.334,0.005,0.005
2026-09-20T14:42:07.568+09:00,REFERENCE_700080_Z_RANGE,1.0.0,REFERENCE_700080,Z,Z_NEG_100_OUT,Z_NEG_100_OUT,"[0.000, 0.000, -100.000]",0.0,0.0,-100.0,,2,16.219,0.2546,1.0,0.9552,0.2546,1.1977,0.476,0.04,True,700.08,700.055,-0.025,-0.025,-24.59,-24.594,-0.004,-0.004,366.45,365.975,-0.475,-100.475,177.57,177.569,-0.001,-0.001,-90.0,-90.04,-0.04,-0.04,-180.0,179.996,-0.004,359.996,-2.589,-2.59,-0.001,-0.005,6.846,6.861,0.015,5.099,111.81,111.836,0.026,11.161,-180.323,-180.322,0.001,0.377,28.656,28.656,0.0,16.219,-179.739,-179.744,-0.005,-0.405
2026-09-20T14:42:09.267+09:00,REFERENCE_700080_Z_RANGE,1.0.0,REFERENCE_700080,Z,Z_NEG_200_OUT,Z_NEG_200_OUT,"[0.000, 0.000, -200.000]",0.0,0.0,-200.0,,2,16.972,0.2037,1.0,1.0,0.2037,1.1961,0.421,0.036,True,700.08,700.046,-0.034,-0.034,-24.59,-24.603,-0.013,-0.013,266.45,266.03,-0.42,-200.42,177.57,177.569,-0.001,-0.001,-90.0,-90.036,-0.036,-0.036,-180.0,179.996,-0.004,359.996,-2.594,-2.595,-0.001,-0.01,16.182,16.203,0.021,14.441,119.446,119.462,0.016,18.787,-180.224,-180.223,0.001,0.476,45.628,45.629,0.001,33.192,-179.867,-179.872,-0.005,-0.533
2026-09-20T14:42:10.969+09:00,REFERENCE_700080_Z_RANGE,1.0.0,REFERENCE_700080,Z,Z_NEG_300_OUT,Z_NEG_300_OUT,"[0.000, 0.000, -300.000]",0.0,0.0,-300.0,,2,16.836,0.1796,1.0,1.0,0.1796,1.1968,0.205,0.018,True,700.08,700.046,-0.034,-0.034,-24.59,-24.595,-0.005,-0.005,166.45,166.247,-0.203,-300.203,177.57,177.569,-0.001,-0.001,-90.0,-90.018,-0.018,-0.018,-180.0,179.998,-0.002,359.998,-2.599,-2.599,-0.0,-0.014,29.406,29.418,0.012,27.656,123.058,123.064,0.006,22.389,-180.187,-180.186,0.001,0.513,62.464,62.464,0.0,50.027,-179.939,-179.942,-0.003,-0.603
