host_time,recipe_id,recipe_version,source_point_id,test_axis,point_id,point_name,target_offset_xyz_mm,target_dx_mm,target_dy_mm,target_dz_mm,selected_solution_space,actual_solution_space,max_command_joint_change_deg,joint_limit_margin,elbow_margin,wrist_margin,freedom_score,move_elapsed_s,position_error_mm,orientation_error_deg,within_tolerance,target_x_mm,actual_x_mm,error_x_mm,delta_x_mm,target_y_mm,actual_y_mm,error_y_mm,delta_y_mm,target_z_mm,actual_z_mm,error_z_mm,delta_z_mm,target_a_deg,actual_a_deg,error_a_deg,delta_a_deg,target_b_deg,actual_b_deg,error_b_deg,delta_b_deg,target_c_deg,actual_c_deg,error_c_deg,delta_c_deg,target_j1_deg,actual_j1_deg,error_j1_deg,delta_j1_deg,target_j2_deg,actual_j2_deg,error_j2_deg,delta_j2_deg,target_j3_deg,actual_j3_deg,error_j3_deg,delta_j3_deg,target_j4_deg,actual_j4_deg,error_j4_deg,delta_j4_deg,target_j5_deg,actual_j5_deg,error_j5_deg,delta_j5_deg,target_j6_deg,actual_j6_deg,error_j6_deg,delta_j6_deg,max_joint_error_deg,joint_within_tolerance,task_error_evaluated
2026-09-21T03:15:25.574+09:00,REFERENCE_700080_Y_RANGE,1.0.0,REFERENCE_700080,Y,Y_REFERENCE_START,Y_REFERENCE_START,"[0.000, 0.000, 0.000]",0.0,0.0,0.0,2,2,0.0,0.3288,1.0,0.4146,0.3288,0.109,,,,700.08,492.796,,,-24.59,-15.674,,,466.45,466.549,,,177.57,177.566,,,-90.0,-90.001,,,-180.0,179.978,,,-2.585,-2.585,-0.0,-0.0,1.762,1.762,-0.0,-0.0,100.675,100.675,0.0,0.0,-180.699,-180.699,-0.0,-0.0,12.437,12.437,0.0,0.0,-179.339,-179.339,-0.0,-0.0,0.0,True,False
2026-09-21T03:15:28.550+09:00,REFERENCE_700080_Y_RANGE,1.0.0,REFERENCE_700080,Y,Y_POS_100_OUT,Y_POS_100_OUT,"[0.000, 100.000, 0.000]",0.0,100.0,0.0,2,2,52.433,0.3393,1.0,0.6474,0.3393,2.4727,,,,700.08,492.703,,,75.41,85.07,,,466.45,466.87,,,177.57,177.568,,,-90.0,-89.998,,,-180.0,179.978,,,12.701,12.701,0.0,15.286,3.21,3.21,0.0,1.448,99.105,99.105,0.0,-1.57,-128.266,-128.266,-0.0,52.433,19.421,19.421,-0.0,6.984,-230.114,-230.114,0.0,-50.775,0.0,True,False
2026-09-21T03:15:30.312+09:00,REFERENCE_700080_Y_RANGE,1.0.0,REFERENCE_700080,Y,Y_POS_200_OUT,Y_POS_200_OUT,"[0.000, 200.000, 0.000]",0.0,200.0,0.0,2,2,17.857,0.315,1.0,1.0,0.315,1.2604,,,,700.08,492.53,,,175.41,185.286,,,466.45,467.089,,,177.57,177.568,,,-90.0,-89.993,,,-180.0,179.978,,,26.272,26.272,-0.0,28.857,8.006,8.006,-0.0,6.244,93.741,93.741,-0.0,-6.934,-110.409,-110.409,0.0,70.29,30.827,30.827,-0.0,18.39,-246.599,-246.599,0.0,-67.26,0.0,True,False
2026-09-21T03:15:31.824+09:00,REFERENCE_700080_Y_RANGE,1.0.0,REFERENCE_700080,Y,Y_POS_300_OUT,Y_POS_300_OUT,"[0.000, 300.000, 0.000]",0.0,300.0,0.0,2,2,10.996,0.2929,1.0,1.0,0.2929,1.0099,,,,700.08,492.384,,,275.41,285.395,,,466.45,467.191,,,177.57,177.569,,,-90.0,-89.988,,,-180.0,179.977,,,37.268,37.268,0.0,39.853,15.406,15.406,0.0,13.644,84.62,84.62,0.0,-16.055,-101.862,-101.862,0.0,78.837,40.745,40.745,-0.0,28.308,-254.538,-254.538,0.0,-75.199,0.0,True,False
2026-09-21T03:15:33.336+09:00,REFERENCE_700080_Y_RANGE,1.0.0,REFERENCE_700080,Y,Y_POS_200_RETURN,Y_POS_200_RETURN,"[0.000, 200.000, 0.000]",0.0,200.0,0.0,2,2,10.996,0.315,1.0,1.0,0.315,1.009,,,,700.08,492.53,,,175.41,185.286,,,466.45,467.089,,,177.57,177.568,,,-90.0,-89.993,,,-180.0,179.978,,,26.272,26.272,-0.0,28.857,8.006,8.006,-0.0,6.244,93.741,93.741,-0.0,-6.934,-110.409,-110.409,0.0,70.29,30.827,30.827,-0.0,18.39,-246.599,-246.599,0.0,-67.26,0.0,True,False
2026-09-21T03:15:35.099+09:00,REFERENCE_700080_Y_RANGE,1.0.0,REFERENCE_700080,Y,Y_POS_100_RETURN,Y_POS_100_RETURN,"[0.000, 100.000, 0.000]",0.0,100.0,0.0,2,2,17.857,0.3393,1.0,0.6474,0.3393,1.2606,,,,700.08,492.703,,,75.41,85.07,,,466.45,466.87,,,177.57,177.568,,,-90.0,-89.998,,,-180.0,179.978,,,12.701,12.701,0.0,15.286,3.21,3.21,0.0,1.448,99.105,99.105,0.0,-1.57,-128.266,-128.266,-0.0,52.433,19.421,19.421,-0.0,6.984,-230.114,-230.114,0.0,-50.775,0.0,True,False
2026-09-21T03:15:38.074+09:00,REFERENCE_700080_Y_RANGE,1.0.0,REFERENCE_700080,Y,Y_REFERENCE_AFTER_POSITIVE,Y_REFERENCE_AFTER_POSITIVE,"[0.000, 0.000, 0.000]",0.0,0.0,0.0,2,2,52.433,0.3288,1.0,0.4146,0.3288,2.4726,,,,700.08,492.796,,,-24.59,-15.674,,,466.45,466.549,,,177.57,177.566,,,-90.0,-90.001,,,-180.0,179.978,,,-2.585,-2.585,-0.0,-0.0,1.762,1.762,-0.0,-0.0,100.675,100.675,0.0,0.0,-180.699,-180.699,-0.0,-0.0,12.437,12.437,0.0,0.0,-179.339,-179.339,-0.0,-0.0,0.0,True,False
2026-09-21T03:15:41.005+09:00,REFERENCE_700080_Y_RANGE,1.0.0,REFERENCE_700080,Y,Y_NEG_100_OUT,Y_NEG_100_OUT,"[0.000, -100.000, 0.000]",0.0,-100.0,0.0,2,2,51.182,0.3447,1.0,0.6468,0.3447,2.4294,,,,700.08,492.703,,,-124.59,-116.411,,,466.45,466.8,,,177.57,177.568,,,-90.0,-90.003,,,-180.0,179.978,,,-17.584,-17.584,0.0,-14.999,3.971,3.971,-0.0,2.209,98.299,98.299,0.0,-2.376,-231.881,-231.881,0.0,-51.182,19.404,19.404,-0.0,6.967,-129.779,-129.779,-0.0,49.56,0.0,True,False
2026-09-21T03:15:42.759+09:00,REFERENCE_700080_Y_RANGE,1.0.0,REFERENCE_700080,Y,Y_NEG_200_OUT,Y_NEG_200_OUT,"[0.000, -200.000, 0.000]",0.0,-200.0,0.0,2,2,17.583,0.307,1.0,1.0,0.307,1.251,,,,700.08,492.571,,,-224.59,-216.652,,,466.45,466.985,,,177.57,177.569,,,-90.0,-90.007,,,-180.0,179.978,,,-30.481,-30.481,-0.0,-27.896,9.385,9.385,0.0,7.623,92.136,92.136,0.0,-8.539,-249.464,-249.464,-0.0,-68.765,30.142,30.142,0.0,17.705,-113.447,-113.447,0.0,65.892,0.0,True,False
2026-09-21T03:15:44.240+09:00,REFERENCE_700080_Y_RANGE,1.0.0,REFERENCE_700080,Y,Y_NEG_300_OUT,Y_NEG_300_OUT,"[0.000, -300.000, 0.000]",0.0,-300.0,0.0,2,2,10.246,0.2826,1.0,1.0,0.2826,0.9781,,,,700.08,492.459,,,-324.59,-316.791,,,466.45,467.06,,,177.57,177.568,,,-90.0,-90.013,,,-180.0,179.977,,,-40.727,-40.727,-0.0,-38.142,17.256,17.256,0.0,15.494,82.193,82.193,0.0,-18.482,-258.274,-258.274,0.0,-77.575,39.266,39.266,-0.0,26.829,-105.041,-105.041,-0.0,74.298,0.0,True,False
