host_time,recipe_id,recipe_version,source_point_id,test_axis,point_id,point_name,target_offset_xyz_mm,target_dx_mm,target_dy_mm,target_dz_mm,selected_solution_space,actual_solution_space,max_command_joint_change_deg,joint_limit_margin,elbow_margin,wrist_margin,freedom_score,move_elapsed_s,position_error_mm,orientation_error_deg,within_tolerance,target_x_mm,actual_x_mm,error_x_mm,delta_x_mm,target_y_mm,actual_y_mm,error_y_mm,delta_y_mm,target_z_mm,actual_z_mm,error_z_mm,delta_z_mm,target_a_deg,actual_a_deg,error_a_deg,delta_a_deg,target_b_deg,actual_b_deg,error_b_deg,delta_b_deg,target_c_deg,actual_c_deg,error_c_deg,delta_c_deg,target_j1_deg,actual_j1_deg,error_j1_deg,delta_j1_deg,target_j2_deg,actual_j2_deg,error_j2_deg,delta_j2_deg,target_j3_deg,actual_j3_deg,error_j3_deg,delta_j3_deg,target_j4_deg,actual_j4_deg,error_j4_deg,delta_j4_deg,target_j5_deg,actual_j5_deg,error_j5_deg,delta_j5_deg,target_j6_deg,actual_j6_deg,error_j6_deg,delta_j6_deg,max_joint_error_deg,joint_within_tolerance,task_error_evaluated
2026-09-21T03:17:40.308+09:00,REFERENCE_700080_Z_RANGE,1.0.0,REFERENCE_700080,Z,Z_REFERENCE_START,Z_REFERENCE_START,"[0.000, 0.000, 0.000]",0.0,0.0,0.0,,2,0.0,0.3288,1.0,0.4146,0.3288,0.1081,,,,700.08,492.796,,,-24.59,-15.674,,,466.45,466.549,,,177.57,177.566,,,-90.0,-90.001,,,-180.0,179.978,,,-2.585,-2.585,-0.0,-0.0,1.762,1.762,-0.0,-0.0,100.675,100.675,0.0,0.0,-180.699,-180.699,-0.0,-0.0,12.437,12.437,0.0,0.0,-179.339,-179.339,-0.0,-0.0,0.0,True,False
2026-09-21T03:17:41.993+09:00,REFERENCE_700080_Z_RANGE,1.0.0,REFERENCE_700080,Z,Z_POS_100_OUT,Z_POS_100_OUT,"[0.000, 0.000, 100.000]",0.0,0.0,100.0,,3,15.645,0.4257,1.0,0.1069,0.1069,1.1824,,,,700.08,492.926,,,-24.59,-15.602,,,566.45,566.556,,,177.57,177.565,,,-90.0,-89.999,,,-180.0,179.979,,,-2.573,-2.573,0.0,0.012,0.656,0.656,0.0,-1.106,86.138,86.138,0.0,-14.537,-177.525,-177.525,0.0,3.174,-3.208,-3.208,0.0,-15.645,-182.492,-182.492,-0.0,-3.153,0.0,True,False
2026-09-21T03:17:43.790+09:00,REFERENCE_700080_Z_RANGE,1.0.0,REFERENCE_700080,Z,Z_POS_200_OUT,Z_POS_200_OUT,"[0.000, 0.000, 200.000]",0.0,0.0,200.0,,3,18.86,0.4989,1.0,0.6417,0.4989,1.2946,,,,700.08,493.102,,,-24.59,-15.597,,,666.45,666.579,,,177.57,177.566,,,-90.0,-90.0,,,-180.0,179.979,,,-2.571,-2.571,-0.0,0.014,3.471,3.471,-0.0,1.709,67.278,67.278,-0.0,-33.397,-179.586,-179.586,0.0,1.113,-19.251,-19.251,0.0,-31.688,-180.412,-180.412,-0.0,-1.073,0.0,True,False
2026-09-21T03:17:45.901+09:00,REFERENCE_700080_Z_RANGE,1.0.0,REFERENCE_700080,Z,Z_POS_300_OUT,Z_POS_300_OUT,"[0.000, 0.000, 300.000]",0.0,0.0,300.0,,3,27.783,0.4995,1.0,1.0,0.4995,1.6083,,,,700.08,493.348,,,-24.59,-15.556,,,766.45,766.648,,,177.57,177.565,,,-90.0,-90.001,,,-180.0,179.977,,,-2.563,-2.563,0.0,0.022,11.92,11.92,0.0,10.158,39.495,39.495,-0.0,-61.18,-179.794,-179.794,-0.0,0.905,-38.586,-38.586,0.0,-51.023,-180.184,-180.184,-0.0,-0.845,0.0,True,False
2026-09-21T03:17:48.021+09:00,REFERENCE_700080_Z_RANGE,1.0.0,REFERENCE_700080,Z,Z_POS_200_RETURN,Z_POS_200_RETURN,"[0.000, 0.000, 200.000]",0.0,0.0,200.0,,3,27.783,0.4989,1.0,0.6417,0.4989,1.6089,,,,700.08,493.102,,,-24.59,-15.597,,,666.45,666.579,,,177.57,177.566,,,-90.0,-90.0,,,-180.0,179.979,,,-2.571,-2.571,-0.0,0.014,3.471,3.471,-0.0,1.709,67.278,67.278,-0.0,-33.397,-179.586,-179.586,0.0,1.113,-19.251,-19.251,0.0,-31.688,-180.412,-180.412,-0.0,-1.073,0.0,True,False
2026-09-21T03:17:49.818+09:00,REFERENCE_700080_Z_RANGE,1.0.0,REFERENCE_700080,Z,Z_POS_100_RETURN,Z_POS_100_RETURN,"[0.000, 0.000, 100.000]",0.0,0.0,100.0,,3,18.86,0.4257,1.0,0.1069,0.1069,1.2944,,,,700.08,492.926,,,-24.59,-15.602,,,566.45,566.556,,,177.57,177.565,,,-90.0,-89.999,,,-180.0,179.979,,,-2.573,-2.573,0.0,0.012,0.656,0.656,0.0,-1.106,86.138,86.138,0.0,-14.537,-177.525,-177.525,0.0,3.174,-3.208,-3.208,0.0,-15.645,-182.492,-182.492,-0.0,-3.153,0.0,True,False
2026-09-21T03:17:51.503+09:00,REFERENCE_700080_Z_RANGE,1.0.0,REFERENCE_700080,Z,Z_REFERENCE_AFTER_POSITIVE,Z_REFERENCE_AFTER_POSITIVE,"[0.000, 0.000, 0.000]",0.0,0.0,0.0,,2,15.645,0.3288,1.0,0.4146,0.3288,1.1825,,,,700.08,492.796,,,-24.59,-15.674,,,466.45,466.549,,,177.57,177.566,,,-90.0,-90.001,,,-180.0,179.978,,,-2.585,-2.585,-0.0,-0.0,1.762,1.762,-0.0,-0.0,100.675,100.675,0.0,0.0,-180.699,-180.699,-0.0,-0.0,12.437,12.437,0.0,0.0,-179.339,-179.339,-0.0,-0.0,0.0,True,False
2026-09-21T03:17:53.209+09:00,REFERENCE_700080_Z_RANGE,1.0.0,REFERENCE_700080,Z,Z_NEG_100_OUT,Z_NEG_100_OUT,"[0.000, 0.000, -100.000]",0.0,0.0,-100.0,,2,16.219,0.2546,1.0,0.9552,0.2546,1.2026,,,,700.08,492.711,,,-24.59,-15.695,,,366.45,366.595,,,177.57,177.566,,,-90.0,-90.0,,,-180.0,179.978,,,-2.589,-2.589,0.0,-0.004,6.846,6.846,0.0,5.084,111.81,111.81,-0.0,11.135,-180.323,-180.323,0.0,0.376,28.656,28.656,0.0,16.219,-179.739,-179.739,0.0,-0.4,0.0,True,False
2026-09-21T03:17:54.940+09:00,REFERENCE_700080_Z_RANGE,1.0.0,REFERENCE_700080,Z,Z_NEG_200_OUT,Z_NEG_200_OUT,"[0.000, 0.000, -200.000]",0.0,0.0,-200.0,,2,16.972,0.2037,1.0,1.0,0.2037,1.2282,,,,700.08,492.682,,,-24.59,-15.726,,,266.45,266.665,,,177.57,177.566,,,-90.0,-90.0,,,-180.0,179.976,,,-2.594,-2.594,-0.0,-0.009,16.182,16.182,-0.0,14.42,119.446,119.446,-0.0,18.771,-180.224,-180.224,0.0,0.475,45.628,45.628,-0.0,33.191,-179.867,-179.867,-0.0,-0.528,0.0,True,False
2026-09-21T03:17:56.667+09:00,REFERENCE_700080_Z_RANGE,1.0.0,REFERENCE_700080,Z,Z_NEG_300_OUT,Z_NEG_300_OUT,"[0.000, 0.000, -300.000]",0.0,0.0,-300.0,,2,16.836,0.1796,1.0,1.0,0.1796,1.2242,,,,700.08,492.719,,,-24.59,-15.759,,,166.45,166.734,,,177.57,177.567,,,-90.0,-90.0,,,-180.0,179.975,,,-2.599,-2.599,0.0,-0.014,29.406,29.406,0.0,27.644,123.058,123.058,-0.0,22.383,-180.187,-180.187,0.0,0.512,62.464,62.464,0.0,50.027,-179.939,-179.939,0.0,-0.6,0.0,True,False
